"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,22,NA,NA,NA,2,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA
10,25,NA,1,0,NA,1,0,1,0,NA,4,2,NA,0,NA,0,0
11,23.5,4,NA,0,NA,1,0,1,0,0,NA,2,4,0,1,NA,0
12,25.5,1,NA,NA,NA,NA,0,NA,0,NA,3,NA,NA,NA,0,NA,NA
13,23,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,0
14,24.5,NA,1,0,1,NA,0,NA,0,NA,2,3,1,0,NA,0,0
15,23.5,4,NA,0,1,1,NA,1,0,NA,3,2,4,0,1,0,NA
16,23,1,NA,0,NA,NA,NA,1,0,0,2,NA,2,0,2,0,NA
17,23.5,4,0,NA,NA,NA,0,1,NA,0,3,NA,4,0,1,0,NA
18,23,NA,NA,0,1,NA,NA,1,0,NA,NA,NA,2,0,NA,NA,0
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
