"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,22,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,4
10,22.5,NA,2,0,NA,2,2,2,0,NA,2,2,NA,0,NA,2,4
11,22.5,3,NA,0,NA,2,2,2,0,0,NA,2,4,0,2,NA,4
12,25.5,3,NA,NA,NA,NA,0,NA,0,NA,3,NA,NA,NA,0,NA,NA
13,23,NA,2,0,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2
14,23.5,NA,2,0,4,NA,5,NA,0,NA,3,2,4,0,NA,1,1
15,22.5,3,NA,0,1,2,NA,2,0,NA,2,2,4,0,2,2,NA
16,23,3,NA,0,NA,NA,2,1,0,0,2,NA,2,0,2,1,NA
17,25.5,3,1,NA,NA,NA,0,1,NA,1,3,NA,3,0,0,1,NA
18,22.5,NA,NA,0,1,NA,NA,2,0,NA,NA,NA,4,0,NA,NA,4
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
