"value1","value2","value3","value4","value5","value6","value7","value8","value9","value10","value11","value12","value13","value14","value15","value16","value17","value18","value19","value20","value21","value22","value23","value24"
NA,NA,NA,NA,NA,NA,NA,1.40752364289048,2.21770337899202,2.16113014647465,2.08744681198648,2.02205144338272,1.72737884455008,2.00052176645253,1.98427390957165,1.97269848815599,1.98402117374545,1.24592278365227,1.10909414151099,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.41585269366502,2.35553631424034,2.21685268670486,2.24458465553216,2.08764109418206,1.748790411877,2.13695536621041,2.12125117595316,2.12437112908712,2.06138664204567,1.21507669626032,1.0541917557397,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.23838789861713,2.04547947933485,1.95585653747115,1.79578590128185,1.62317344761396,1.39644447721034,1.64035668508201,1.61803353308731,1.64559501831485,1.66769664630848,1.25478404427162,1.02217678474769,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.42832720321242,2.31736496658701,2.38497091507149,2.15611423791564,2.10704421787744,1.46737107060293,2.09064007220201,1.80689514154258,2.01256979168635,1.82322519744683,1.24992405013709,1.08526673690726,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.5511997166907,2.48058150499992,2.50451120291756,2.33438079665877,2.23263294532823,1.87045213344972,2.2978271348975,2.22632778370387,2.21644555307678,2.24943887539542,1.39997190515299,1.14819383029851,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.48195175266284,2.35532739606916,2.51551616177584,2.30521446007078,2.20419982959048,1.8973778239438,2.240808486485,2.24598999282512,2.23846796978474,2.29844394871239,1.44754377859198,1.1720705343786,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.60499468767031,2.38963481919055,2.46629115019685,2.44510326850528,2.13744084222824,1.46284757931495,1.74254938053068,1.85709511058934,2.14177180818457,1.90616554475815,1.36099394102587,1.08064665070242,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.27665638575445,2.35263003324882,2.31635062279047,2.23318235593836,2.16295553399802,1.77108052083806,2.09516083817212,2.09845628102685,2.15148858398147,1.87706728021048,1.36427453271165,1.11510309100312,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.209736360964,1.85408605957945,1.90281159613697,1.85158085959536,1.7684324965853,1.44444243817372,1.83618209096809,1.76108480707773,1.75210480803294,1.75479202408408,1.28119951014683,1.0516337196696,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.25527923082638,2.19332423830179,2.18235242025182,2.07629798858159,2.0816798363077,1.46100930104832,1.69840366396928,1.72228927104108,2.10985798487978,2.11447231285593,1.331179996879,1.08865487722424,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.26725641192056,1.98013081184845,2.3437753991887,1.82926767119078,1.74286553011935,1.44739522783171,2.0984813023074,2.04992464396029,2.01455673493261,2.12021300755324,1.26789972210529,1.06979658569007,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.08358610209372,1.61680176894416,1.8001992216019,1.80008220184631,1.70561062487518,1.40348068958509,1.6344408869028,1.66402084247013,1.67911309586356,1.79065423311714,1.29425522272236,1.05096593772365,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.31495717942889,2.27036273951488,2.359734131835,2.07538980912262,2.0105141058622,1.80036164620762,2.12530688040313,2.15026735718927,2.1432417928,2.1124443892221,1.26313826909666,1.0995990811803,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.25532164399018,2.23664621762793,2.25268472810708,2.19996332812961,2.07537528467944,1.40655712411758,1.84301325759774,2.06360484239954,1.87023683547004,1.77784462782531,1.22685859523609,1.06801983258038,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.25320580908641,2.20061364367989,2.32248154045682,2.27292745518193,2.16351746426176,1.72719492061778,2.10564278202829,2.15170913194275,2.08681484400324,2.11824582098868,1.2726784231756,1.09107139786615,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.3460198581296,2.25040927829888,2.25624772996055,2.1470146863922,1.78140167699822,1.54859495817274,2.27153139650459,2.20212827094223,1.82677749449264,1.80743726132305,1.36794976871083,1.07365083801807,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.19290534048152,2.19315709189492,2.34726676415199,2.27637938487146,2.14452390249303,1.81732136412605,2.15784596016802,2.13658301881099,2.05441585196689,2.14727819200739,1.3538400032413,1.09875493493154,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.30485909186776,2.09098102387173,2.19011784474615,2.11620831740052,2.099458627977,1.78203208833908,2.10962031445729,2.14912679848753,2.16613187292755,2.0706117363446,1.32853862087661,1.13524671210666,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.45750103673127,2.3313423199912,2.4033430968665,2.25752469608775,2.13425389297449,1.8297613418793,2.24976404452805,2.07655856524696,2.12870923995751,2.08539559305351,1.32985987489467,1.09578984998352,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.42617408454211,2.37246529691595,2.45560013443771,2.25040112784002,2.22626761986476,1.53992329183342,1.72140695279222,2.13374480323539,2.13757776104043,2.19832774022535,1.34281912522108,1.09595915272892,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.29164235364151,2.28585605712218,2.25056373182345,2.11629663951828,2.04424231433052,1.82158092210362,2.21421152608356,2.21571199316767,2.21021327948066,2.15456346807833,1.34391000006064,1.13011407007552,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1.24050352994664,2.14648657980881,2.25882411308016,2.14653771197045,2.07113060722541,1.48049517913431,1.77595745386306,2.0691892941376,2.3219451470234,1.7655904120043,1.28841455517049,1.02739854136696,NA,NA,NA,NA,NA
