"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,24,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0
10,27,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0
11,27,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0
12,26.5,0,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0
13,27,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0
14,24,0,0,NA,0,NA,0,NA,0,0,0,0,NA,0,0,NA,0
15,24,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA
16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
17,27,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA
18,27.5,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
