No,Location,Sex,Age,Height,Weight,Singapore year,clo,Tair,velocity,SET*,TS,TP,TC,TA,HS,HA,AMS,AMA,AMP,Sweating,IAQ acceptability,AF,Odor intensity,Dry-eye
1,8,1,25,169,70.75,25,0.32,24,0.072701,22.196,-1,0,0.1,0.1,1,0.1,0,0.1,0,0,0.1,50,0,1
1,7,1,25,169,72.05,25,0.41,24,0.072701,22.935,0,0,1,0.1,0,0.1,0,0.1,0,0,0.1,50,0,0.1
1,8,1,25,169,72,25,0.3,24,0.072701,22.032,-1,-1,1,0.1,0,0.1,0,-0.1,2,0,-0.1,50,0,0.1
1,8,1,25,169,72.3,25,0.32,24,0.072701,22.196,0,0,1,0.1,3,-1,-3,-1,2,0,-1,17,0,0.1
1,8,1,25,169,70.75,25,0.32,24,0.94069,18.087,0,0,1,1,0,0.1,1,1,0,0,0.1,100,0,0.1
1,8,1,25,169,72,25,0.3,24,0.94069,17.851,-2,0,1,1,0,1,0,0.1,0,0,0.1,100,0,0.1
1,8,1,25,169,72.3,25,0.32,24,0.94069,18.087,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,100,0,0.1
1,8,1,25,169,70.75,25,0.32,24,1.8709,16.658,-2,1,1,1,0,1,1,0.1,0,0,1,50,0,0.1
1,7,1,25,169,72.05,25,0.41,24,1.8709,17.801,-1,0,2,1,0,1,1,1,0,0,1,83,0,1
1,8,1,25,169,72,25,0.3,24,1.8709,16.388,-2,0,2,1,0,1,0,0.1,0,0,0.1,100,0,1
1,8,1,25,169,72.3,25,0.32,24,1.8709,16.658,-3,1,1,0.1,0,0.1,0,0.1,0,0,0.1,67,0,0.1
1,8,1,25,169,70.5,25,0.32,24,0.072701,22.196,0,-1,0.1,0.1,-2,0.1,-3,0.1,2,2,0.1,50,0,0.1
1,8,1,25,169,72.45,25,0.32,24,0.072701,22.196,-1,-1,1,0.1,3,0.1,0,-1,2,0,0.1,17,1,0.1
1,8,1,25,169,70.5,25,0.32,24,0.94069,18.087,-1,0,1,0.1,0,0.1,0,0.1,1,0,0.1,67,0,0.1
1,8,1,25,169,72.6,25,0.32,24,0.94069,18.087,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,50,0,0.1
1,8,1,25,169,72.45,25,0.32,24,0.94069,18.087,-2,-1,1,0.1,0,0.1,0,0.1,1,0,0.1,100,0,0.1
1,8,1,25,169,70.5,25,0.32,24,1.8709,16.658,0,0,1,0.1,0,0.1,0,0.1,0,0,0.1,100,0,0.1
1,8,1,25,169,72.6,25,0.32,24,1.8709,16.658,-1,-1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,67,0,0.1
1,8,1,25,169,72.45,25,0.32,24,1.8709,16.658,-2,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,67,0,0.1
1,8,1,25,169,70.6,25,0.32,27,0.072701,25.738,0,-2,0.1,0.1,-2,-0.1,-1,0.1,2,0,0.1,34,0,0.1
1,8,1,25,169,72.45,25,0.32,27,0.072701,25.738,0,0,0.1,0.1,0,0.1,-3,-1,2,0,-1,17,0,0.1
1,8,1,25,169,72.3,25,0.32,27,0.072701,25.738,0,0,0.1,0.1,3,-1,-3,-1,2,0,0.1,17,0,0.1
1,8,1,25,169,70.6,25,0.32,27,0.94069,21.752,-1,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,50,0,0.1
1,8,1,25,169,72.45,25,0.32,27,0.94069,21.752,-2,-1,1,0.1,0,0.1,0,0.1,1,0,0.1,50,0,0.1
1,8,1,25,169,72.3,25,0.32,27,0.94069,21.752,-2,-1,0.1,0.1,2,0.1,-1,0.1,2,0,-0.1,50,0,0.1
1,8,1,25,169,70.6,25,0.32,27,1.8709,20.624,-1,0,1,0.1,0,0.1,1,0.1,0,0,0.1,67,0,1
1,8,1,25,169,72.45,25,0.32,27,1.8709,20.624,-2,-1,1,0.1,0,0.1,1,0.1,1,0,0.1,67,0,0.1
1,8,1,25,169,72.3,25,0.32,27,1.8709,20.624,-2,0,1,0.1,0,0.1,0,0.1,1,0,0.1,50,0,0.1
1,8,1,25,169,71.35,25,0.34,27,0.072701,25.908,2,-2,-0.1,0.1,-2,-0.1,-3,-0.1,2,1,-0.1,17,0,0.1
1,8,1,25,169,72.65,25,0.32,27,0.072701,25.738,0,0,1,0.1,0,0.1,0,0.1,2,0,0.1,50,0,0.1
1,8,1,25,169,72.85,25,0.32,27,0.072701,25.738,2,-2,-2,-1,3,-1,-3,-1,2,0,-1,17,0,0.1
1,8,1,25,169,71.35,25,0.34,27,0.94069,21.942,0,0,1,0.1,0,0.1,0,0.1,1,0,0.1,50,0,0.1
1,8,1,25,169,72.65,25,0.32,27,0.94069,21.752,0,0,0.1,0.1,0,0.1,0,0.1,2,0,0.1,50,0,0.1
1,8,1,25,169,72.85,25,0.32,27,0.94069,21.752,-2,-1,0.1,0.1,3,0.1,-2,0.1,2,0,0.1,50,0,0.1
1,8,1,25,169,71.35,25,0.34,27,1.8709,20.832,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,50,0,0.1
1,8,1,25,169,72.65,25,0.32,27,1.8709,20.624,0,-2,1,0.1,0,0.1,1,0.1,2,0,0.1,50,0,0.1
1,8,1,25,169,72.85,25,0.32,27,1.8709,20.624,-2,-1,1,0.1,0,0.1,0,0.1,1,0,0.1,50,0,0.1
1,6,1,25,169,70.65,25,0.34,30,0.072701,29.63,3,-2,-0.1,-0.1,-2,-0.1,-3,-1,2,1,-1,0,0,0.1
1,8,1,25,169,72.3,25,0.32,30,0.072701,29.479,3,-2,-2,-1,3,-1,-3,-1,2,1,-0.1,0,0,-0.1
1,8,1,25,169,71.7,25,0.32,30,0.072701,29.479,3,-2,-2,-1,3,-1,-3,-1,2,0,-1,0,1,-1
1,6,1,25,169,70.65,25,0.34,30,0.94069,25.233,2,-2,-0.1,0.1,0,-0.1,-2,-0.1,2,0,-0.1,34,0,0.1
1,8,1,25,169,71.9,25,0.32,30,0.94069,25.046,1,-2,-0.1,-0.1,0,-1,-2,-0.1,2,0,-1,17,0,0.1
1,8,1,25,169,72.3,25,0.32,30,0.94069,25.046,2,-2,-1,-1,2,-1,-2,-1,2,1,0.1,17,0,0.1
1,8,1,25,169,71.7,25,0.32,30,0.94069,25.046,2,-2,-1,-0.1,3,-1,-1,-1,2,0,-1,34,0,0.1
1,6,1,25,169,70.65,25,0.34,30,1.8709,24.191,0,0,0.1,0.1,0,0.1,0,0.1,2,0,0.1,50,0,0.1
1,8,1,25,169,72.3,25,0.32,30,1.8709,23.997,2,-2,-1,-1,2,-1,-1,-1,2,1,-1,17,0,0.1
1,8,1,25,169,71.7,25,0.32,30,1.8709,23.997,2,-2,-1,-1,3,-1,-1,-1,2,0,0.1,17,0,0.1
1,8,1,25,169,71.9,25,0.32,30,0.072701,29.479,3,-2,-2,-1,-3,-1,-3,-1,2,2,-1,0,0,0.1
1,8,1,25,169,72.2,25,0.32,30,0.072701,29.479,3,-2,-2,-1,3,-0.1,-3,-1,2,1,-1,0,0,-1
1,8,1,25,169,71.85,25,0.32,30,0.072701,29.479,3,-2,-2,-1,-3,-1,-3,-1,2,1,0.1,0,0,-1
1,8,1,25,169,72.2,25,0.32,30,0.94069,25.046,2,-2,-1,-1,2,-0.1,-2,-1,2,1,-1,17,0,0.1
1,8,1,25,169,71.85,25,0.32,30,0.94069,25.046,3,-2,-2,-1,3,-1,-3,-1,2,0,-1,0,0,-1
1,8,1,25,169,71.9,25,0.32,30,1.8709,23.997,1,-1,-0.1,-0.1,0,0.1,0,-0.1,2,0,0.1,50,0,0.1
1,8,1,25,169,72.2,25,0.32,30,1.8709,23.997,2,-2,-0.1,-0.1,2,-0.1,0,-0.1,2,1,-0.1,50,0,0.1
1,8,1,25,169,71.85,25,0.32,30,1.8709,23.997,3,-2,-2,-1,3,-1,-3,-1,2,0,-1,0,0,-1
2,8,2,22,152,35.65,22,0.64,24,0.072701,24.881,-1,0,1,1,0,1,0,0.1,0,0,0.1,83,0,1
2,6,2,22,152,35.15,22,0.3,24,0.072701,22.032,-1,0,1,1,0,1,0,1,0,0,1,83,0,1
2,8,2,22,152,35.25,22,0.49,24,0.072701,23.63,-1,0,1,1,0,1,0,1,0,0,1,83,0,0.1
2,6,2,22,152,35.15,22,0.3,24,0.94069,17.851,-2,1,2,1,0,1,1,1,0,0,1,83,0,1
2,8,2,22,152,35.25,22,0.49,24,0.94069,19.934,-2,0,2,1,0,1,0,1,0,0,1,83,0,1
2,8,2,22,152,35.65,22,0.64,24,1.8709,20.328,-2,1,1,0.1,0,1,2,0.1,-1,0,1,100,0,1
2,6,2,22,152,35.15,22,0.3,24,1.8709,16.388,-2,1,0.1,0.1,0,1,2,0.1,-1,0,1,100,0,1
2,8,2,22,152,35.25,22,0.49,24,1.8709,18.736,-2,1,1,1,0,1,0,1,-1,0,1,100,0,0.1
2,6,2,22,152,36.05,22,0.41,24,0.072701,22.935,-1,0,1,1,0,1,0,1,1,0,1,83,0,1
2,7,2,22,152,35.45,22,0.49,24,0.072701,23.63,-1,0,2,1,0,1,0,1,0,0,1,67,0,1
2,6,2,22,152,36.05,22,0.41,24,0.94069,19.097,-1,1,0.1,0.1,0,1,1,1,0,0,1,83,0,1
2,7,2,22,152,35.85,22,0.52,24,0.94069,20.235,0,0,1,1,0,1,1,1,0,0,1,83,0,0.1
2,7,2,22,152,35.45,22,0.49,24,0.94069,19.934,-1,0,2,1,0,1,1,1,0,0,1,100,0,0.1
2,6,2,22,152,36.05,22,0.41,24,1.8709,17.801,-2,1,0.1,0.1,0,1,1,0.1,-1,0,-0.1,83,0,1
2,7,2,22,152,35.85,22,0.52,24,1.8709,19.07,-1,0,1,1,0,1,1,1,0,0,1,100,0,-0.1
2,7,2,22,152,35.45,22,0.49,24,1.8709,18.736,-1,1,1,1,0,1,1,1,-1,0,1,100,0,0.1
2,7,2,22,152,35.55,22,0.3,27,0.072701,25.567,0,0,1,1,0,1,-1,0.1,1,0,1,67,0,1
2,7,2,22,152,35.35,22,0.32,27,0.072701,25.738,0,0,2,1,0,1,0,1,0,0,0.1,67,0,1
2,7,2,22,152,35.55,22,0.3,27,0.94069,21.559,-1,0,1,1,0,1,0,1,0,0,1,83,0,1
2,7,2,22,152,35.35,22,0.32,27,0.94069,21.752,-1,0,2,1,0,1,0,1,0,0,1,100,0,1
2,7,2,22,152,35.55,22,0.3,27,1.8709,20.413,-1,1,1,0.1,0,1,2,0.1,-1,0,1,100,0,-0.1
2,7,2,22,152,35.35,22,0.32,27,1.8709,20.624,-1,0,1,1,1,1,1,1,0,0,1,100,0,0.1
2,8,2,22,152,35.3,22,0.43,27,0.072701,26.653,0,-1,1,1,0,1,-1,0.1,1,0,0.1,67,0,1
2,7,2,22,152,35.35,22,0.32,27,0.072701,25.738,0,-1,1,0.1,0,1,-1,0.1,1,0,1,67,0,1
2,8,2,22,152,35.3,22,0.43,27,0.94069,22.752,0,0,1,1,0,1,0,1,1,0,1,83,0,1
2,7,2,22,152,35.35,22,0.32,27,0.94069,21.752,-1,0,1,1,0,1,1,1,0,0,1,83,0,1
2,8,2,22,152,35.3,22,0.43,27,1.8709,21.733,0,0,1,1,0,1,1,1,0,0,1,83,0,1
2,7,2,22,152,35.35,22,0.32,27,1.8709,20.624,-1,0,1,1,0,1,2,1,0,0,1,83,0,1
2,7,2,22,152,36.2,22,0.39,30,0.072701,30.001,2,-2,-1,-1,2,-0.1,-2,-1,2,1,0.1,50,0,0.1
2,8,2,22,152,36.2,22,0.39,30,0.072701,30.001,1,-2,-0.1,-0.1,0,0.1,-2,-0.1,2,0,1,67,0,1
2,6,2,22,152,35.4,22,0.5,30,0.072701,30.783,0,-1,0.1,-0.1,0,1,-2,-1,2,0,0.1,50,0,1
2,8,2,22,152,35.45,22,0.32,30,0.072701,29.479,1,-1,-0.1,-0.1,0,1,-2,-0.1,1,0,-0.1,50,0,1
2,7,2,22,152,36.2,22,0.39,30,0.94069,25.696,1,-1,-0.1,-0.1,1,0.1,-1,0.1,1,0,0.1,50,0,0.1
2,8,2,22,152,36.2,22,0.39,30,0.94069,25.696,0,-1,0.1,0.1,0,1,-1,0.1,1,0,0.1,67,0,1
2,6,2,22,152,35.4,22,0.5,30,0.94069,26.692,0,-1,1,1,0,1,0,0.1,1,0,1,67,0,1
2,8,2,22,152,35.45,22,0.32,30,0.94069,25.046,0,-1,1,1,0,1,-1,1,0,0,1,83,0,1
2,7,2,22,152,36.2,22,0.39,30,1.8709,24.674,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,50,0,0.1
2,8,2,22,152,36.2,22,0.39,30,1.8709,24.674,-1,-1,1,1,0,1,0,1,0,0,1,83,0,1
2,6,2,22,152,35.4,22,0.5,30,1.8709,25.719,-1,0,1,1,0,1,1,1,0,0,1,83,0,1
2,8,2,22,152,35.45,22,0.32,30,1.8709,23.997,0,0,2,1,0,1,1,1,0,0,1,83,0,1
2,6,2,22,152,35.45,22,0.5,30,0.072701,30.783,0,-1,0.1,0.1,0,1,-1,0.1,1,0,1,83,0,1
2,4,2,22,152,35.45,22,0.32,30,0.072701,29.479,0,-1,0.1,0.1,0,1,-1,-0.1,1,0,1,83,0,1
2,6,2,22,152,35.45,22,0.5,30,0.94069,26.692,0,-1,1,1,0,1,0,0.1,1,0,1,67,0,1
2,4,2,22,152,35.45,22,0.32,30,0.94069,25.046,0,-1,0.1,0.1,0,1,0,1,1,0,1,83,0,1
2,6,2,22,152,35.45,22,0.5,30,1.8709,25.719,0,-1,1,1,0,1,1,1,0,0,1,83,0,1
2,4,2,22,152,35.45,22,0.32,30,1.8709,23.997,0,-1,1,1,0,1,2,1,0,0,1,83,0,1
3,1,2,19,174,63.55,19,0.39,24,0.072701,22.76,-1,0,1,1,0,1,0,1,0,0,1,83,0,1
3,1,2,19,174,63.85,19,0.3,24,0.072701,22.032,-1,0,1,1,0,1,0,1,1,0,1,83,0,1
3,1,2,19,174,63.85,19,0.3,24,0.94069,17.851,-1,1,1,1,0,1,0,1,-1,0,0.1,83,0,1
3,1,2,19,174,63.55,19,0.39,24,1.8709,17.556,-2,1,1,1,0,1,1,1,-1,0,1,83,0,1
3,1,2,19,174,63.85,19,0.3,24,1.8709,16.388,-3,1,0.1,0.1,0,1,2,0.1,-2,0,0.1,83,0,1
3,5,2,19,174,64.2,19,0.59,24,0.072701,24.472,-1,0,2,1,1,0.1,1,1,0,0,1,50,0,1
3,5,2,19,174,64.2,19,0.63,24,0.072701,24.8,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
3,1,2,19,174,63.75,19,0.52,24,0.072701,23.887,-1,1,1,1,0,1,0,1,0,0,1,83,0,1
3,5,2,19,174,64.2,19,0.59,24,0.94069,20.915,-2,1,1,1,0,1,1,1,-1,0,1,83,0,1
3,5,2,19,174,64.2,19,0.63,24,0.94069,21.289,0,0,1,1,1,0.1,0,1,0,0,1,67,0,0.1
3,4,2,19,174,64.8,19,0.57,24,0.94069,20.724,-1,0,1,1,0,1,0,1,0,0,1,83,0,1
3,1,2,19,174,63.75,19,0.52,24,0.94069,20.235,-1,0,1,1,0,1,1,0.1,-1,0,1,83,0,1
3,5,2,19,174,64.2,19,0.59,24,1.8709,19.818,-1,1,1,1,0,0.1,0,0.1,-1,0,1,50,0,1
3,5,2,19,174,64.2,19,0.63,24,1.8709,20.228,-1,0,1,1,1,0.1,1,1,-1,0,1,83,0,1
3,4,2,19,174,64.8,19,0.57,24,1.8709,19.608,-1,0,1,1,0,1,1,1,0,0,1,83,0,1
3,1,2,19,174,63.75,19,0.52,24,1.8709,19.07,-2,1,0.1,0.1,0,1,2,0.1,-2,0,0.1,83,0,1
3,1,2,19,174,62.85,19,0.63,27,0.072701,28.199,0,-1,1,1,0,1,0,1,1,0,1,50,0,1
3,5,2,19,174,64.8,19,0.79,27,0.072701,29.335,0,-1,1,0.1,0,1,-1,0.1,1,0,0.1,67,0,1
3,1,2,19,174,63.45,19,0.48,27,0.072701,27.053,0,-1,1,1,0,1,0,1,1,0,1,83,0,1
3,1,2,19,174,62.85,19,0.63,27,0.94069,24.495,0,0,1,1,0,1,0,1,0,0,1,67,0,1
3,5,2,19,174,64.8,19,0.79,27,0.94069,25.839,0,-1,1,1,0,1,0,1,1,0,1,67,0,1
3,1,2,19,174,63.45,19,0.48,27,0.94069,23.191,0,0,1,1,0,1,0,1,0,0,1,83,0,1
3,1,2,19,174,62.85,19,0.63,27,1.8709,23.557,0,0,1,1,0,1,0,1,0,0,1,83,0,1
3,5,2,19,174,64.8,19,0.79,27,1.8709,24.962,-1,0,2,1,1,1,1,1,0,0,1,67,0,0.1
3,1,2,19,174,63.45,19,0.48,27,1.8709,22.211,-1,0,1,1,0,1,1,1,0,0,1,83,0,1
3,3,2,19,174,64.35,19,0.57,27,0.072701,27.751,0,0,1,1,0,1,-1,1,1,0,1,67,0,1
3,1,2,19,174,64.8,19,0.57,27,0.072701,27.751,-1,-1,1,1,0,1,0,0.1,1,0,0.1,83,0,1
3,2,2,19,174,63.75,19,0.48,27,0.072701,27.053,0,-1,1,1,0,1,-1,0.1,1,0,1,83,0,1
3,3,2,19,174,64.35,19,0.57,27,0.94069,23.977,-1,0,1,1,0,1,0,1,0,0,1,67,0,1
3,1,2,19,174,64.8,19,0.57,27,0.94069,23.977,0,-1,1,1,0,1,0,1,1,0,1,67,0,1
3,2,2,19,174,63.75,19,0.48,27,0.94069,23.191,0,0,1,1,0,1,0,1,0,0,1,83,0,1
3,3,2,19,174,64.35,19,0.57,27,1.8709,23.019,0,0,1,1,0,1,1,1,0,0,0.1,67,0,1
3,1,2,19,174,64.8,19,0.57,27,1.8709,23.019,-1,0,1,1,0,1,1,1,0,0,1,67,0,1
3,2,2,19,174,63.75,19,0.48,27,1.8709,22.211,-1,0,1,1,0,1,1,1,0,0,1,83,0,1
3,3,2,19,174,63.8,19,0.39,30,0.072701,30.001,0,-1,1,1,0,1,0,0.1,1,0,1,34,0,1
3,1,2,19,174,64.2,19,0.39,30,0.072701,30.001,0,-1,0.1,0.1,0,1,0,0.1,1,0,0.1,83,0,1
3,2,2,19,174,63.8,19,0.52,30,0.072701,30.92,1,-1,1,0.1,0,1,-2,0.1,1,1,0.1,67,0,1
3,3,2,19,174,63.05,19,0.41,30,0.94069,25.879,0,0,1,1,0,1,0,1,0,0,1,67,0,1
3,3,2,19,174,63.8,19,0.39,30,0.94069,25.696,0,-1,1,1,0,1,0,1,0,0,1,34,0,1
