"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,30,0,0,1,NA,0,2,0,2,0,0,NA,0,2,0,1,0
11,30,0,NA,1,0,0,2,0,2,0,0,NA,0,2,NA,1,0
12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,28,NA,0,NA,NA,NA,2,NA,0,0,NA,NA,0,NA,1,0,1
14,30,0,0,NA,0,NA,2,NA,2,0,0,0,NA,2,0,NA,0
15,30,0,NA,1,0,0,2,NA,NA,0,0,0,NA,NA,0,NA,NA
16,30,0,0,1,0,0,2,0,2,0,0,0,0,2,NA,1,0
17,30,0,0,1,0,0,2,NA,2,0,NA,NA,NA,2,0,1,NA
18,28,NA,0,NA,NA,NA,2,NA,NA,NA,0,NA,NA,0,NA,0,NA
19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
